task_ids,handling_times
0,0.019320000000000004
1,0.01756000000000002
2,0.011960000000000193
3,0.01407999999999987
4,0.0040800000000000836
5,0.013079999999998648
6,0.010640000000000427
7,0.019319999999993342
8,0.0113999999999983
9,0.018080000000001206
10,0.008800000000000807
11,0.024959999999992988
12,0.025320000000000675
13,0.018319999999999226
14,0.026039999999994734
15,0.01695999999999742
16,0.02915999999999741
17,0.016399999999997306
18,0.02096000000000231
19,0.019599999999996953
20,0.015200000000000102
21,0.014200000000002433
22,0.017919999999996605
23,0.019640000000002544
24,0.016480000000001382
25,0.02756000000000114
27,0.013280000000001735
26,0.036520000000002995
28,0.017400000000009186
29,0.004240000000002908
30,0.011399999999994748
31,0.026039999999994734
32,0.008480000000005816
33,0.004199999999997317
34,0.014399999999994861
35,0.004959999999996967
36,0.031440000000003465
37,0.03243999999999403
39,0.01640000000000441
40,0.003439999999997667
38,0.024439999999998463
41,0.00816000000000372
42,0.013639999999995212
43,0.029480000000006612
44,0.031720000000007076
45,0.026120000000005916
46,0.02552000000000021
47,0.02787999999999613
48,0.009759999999999991
49,0.035799999999994725
50,0.005439999999993006
51,0.02027999999999963
52,0.010319999999993001
53,0.019840000000002078
54,0.003479999999996153
55,0.020560000000003242
56,0.023159999999990077
57,0.018919999999994275
58,0.0029200000000031423
59,0.01771999999999707
60,0.00539999999999452
61,0.009720000000001505
62,0.033520000000009986
63,0.008520000000004302
64,0.032399999999995543
65,0.008479999999991605
66,0.024040000000013606
67,0.01328000000000884
68,0.009359999999986712
69,0.021320000000002892
70,0.024040000000013606
71,0.017760000000009768
72,0.013479999999987058
73,0.014999999999986358
74,0.025640000000009877
75,0.01840000000001396
76,0.018799999999998818
78,0.013159999999999172
77,0.038639999999986685
79,0.021279999999990196
80,0.024319999999988795
81,0.016960000000011632
82,0.011920000000003483
83,0.01652000000001408
84,0.01964000000000965
85,0.02103999999999928
86,0.01279999999999859
87,0.02323999999998705
88,0.02255999999999858
89,0.0252399999999966
90,0.012439999999998008
91,0.022320000000007667
92,0.02075999999999567
93,0.019039999999989732
94,0.011159999999989623
95,0.0161200000000008
96,0.029719999999997526
