time,Queue_1_load,Queue_2_load,Queue_3_load,Queue_4_load,Queue_5_load,Queue_6_load,Queue_7_load,Queue_8_load,Queue_9_load,Queue_10_load,Queue_11_load,Queue_12_load
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6001299999999999,0.0,1.0,,,,,,,,,,
0.7,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7001299999999999,0.0,,,,,,,,,,,
0.7031,1.0,0.0,,,,,,,,,,
0.7999999999999999,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8001299999999999,1.0,,,,,,,,,,,
0.8001299999999999,0.0,,,,,,,,,,,
0.8002599999999999,,1.0,,,,,,,,,,
0.8002899999999998,0.0,2.0,,,,,,,,,,
0.8030999999999999,,2.0,,,,,,,,,,
0.8030999999999999,,1.0,,,,,,,,,,
0.8061999999999999,1.0,1.0,,,,,,,,,,
0.8061999999999999,1.0,0.0,,,,,,,,,,
0.8092999999999999,2.0,0.0,,,,,,,,,,
0.8999999999999999,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9002899999999998,2.0,,,,,,,,,,,
0.9002899999999998,1.0,,,,,,,,,,,
0.9004199999999998,,1.0,,,,,,,,,,
0.9004499999999998,1.0,2.0,,,,,,,,,,
0.9004499999999998,0.0,2.0,,,,,,,,,,
0.9005799999999997,,3.0,,,,,,,,,,
0.9006099999999997,0.0,4.0,,,,,,,,,,
0.9092999999999999,,4.0,,,,,,,,,,
0.9092999999999999,,3.0,,,,,,,,,,
0.9123999999999999,1.0,3.0,,,,,,,,,,
0.9123999999999999,1.0,2.0,,,,,,,,,,
0.9154999999999999,2.0,2.0,,,,,,,,,,
0.9154999999999999,2.0,1.0,,,,,,,,,,
0.9185999999999999,3.0,1.0,,,,,,,,,,
0.9185999999999999,3.0,0.0,,,,,,,,,,
0.9216999999999999,4.0,0.0,,,,,,,,,,
0.9999999999999999,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0006099999999998,4.0,,,,,,,,,,,
1.0006099999999998,3.0,,,,,,,,,,,
1.0007399999999997,,1.0,,,,,,,,,,
1.0007699999999997,3.0,2.0,,,,,,,,,,
1.0007699999999997,2.0,2.0,,,,,,,,,,
1.0008999999999997,,3.0,,,,,,,,,,
1.0009299999999997,2.0,4.0,,,,,,,,,,
1.0009299999999997,1.0,4.0,,,,,,,,,,
1.0010599999999996,,5.0,,,,,,,,,,
1.0010899999999996,1.0,6.0,,,,,,,,,,
1.0010899999999996,0.0,6.0,,,,,,,,,,
1.0012199999999996,,7.0,,,,,,,,,,
1.0012499999999995,0.0,8.0,,,,,,,,,,
1.0216999999999998,,8.0,,,,,,,,,,
1.0216999999999998,,7.0,,,,,,,,,,
1.0248,1.0,7.0,,,,,,,,,,
1.0248,1.0,6.0,,,,,,,,,,
1.0279,2.0,6.0,,,,,,,,,,
1.0279,2.0,5.0,,,,,,,,,,
1.0310000000000001,3.0,5.0,,,,,,,,,,
1.0310000000000001,3.0,4.0,,,,,,,,,,
1.0341000000000002,4.0,4.0,,,,,,,,,,
1.0341000000000002,4.0,3.0,,,,,,,,,,
1.0372000000000003,5.0,3.0,,,,,,,,,,
1.0372000000000003,5.0,2.0,,,,,,,,,,
1.0403000000000004,6.0,2.0,,,,,,,,,,
1.0403000000000004,6.0,1.0,,,,,,,,,,
1.0434000000000005,7.0,1.0,,,,,,,,,,
1.0434000000000005,7.0,0.0,,,,,,,,,,
1.0465000000000007,8.0,0.0,,,,,,,,,,
1.0999999999999999,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1012499999999996,8.0,,,,,,,,,,,
1.1012499999999996,7.0,,,,,,,,,,,
1.1013799999999996,,1.0,,,,,,,,,,
1.1014099999999996,7.0,2.0,,,,,,,,,,
1.1014099999999996,6.0,2.0,,,,,,,,,,
1.1015399999999995,,3.0,,,,,,,,,,
1.1015699999999995,6.0,4.0,,,,,,,,,,
1.1015699999999995,5.0,4.0,,,,,,,,,,
1.1016999999999995,,5.0,,,,,,,,,,
1.1017299999999994,5.0,6.0,,,,,,,,,,
1.1017299999999994,4.0,6.0,,,,,,,,,,
1.1018599999999994,,7.0,,,,,,,,,,
1.1018899999999994,4.0,8.0,,,,,,,,,,
1.1018899999999994,3.0,8.0,,,,,,,,,,
1.1020199999999993,,9.0,,,,,,,,,,
1.1020499999999993,3.0,10.0,,,,,,,,,,
1.1020499999999993,2.0,10.0,,,,,,,,,,
1.1021799999999993,,11.0,,,,,,,,,,
1.1022099999999992,2.0,12.0,,,,,,,,,,
1.1022099999999992,1.0,12.0,,,,,,,,,,
1.1023399999999992,,13.0,,,,,,,,,,
1.1023699999999992,1.0,14.0,,,,,,,,,,
1.1023699999999992,0.0,14.0,,,,,,,,,,
1.1024999999999991,,15.0,,,,,,,,,,
1.1025299999999991,0.0,16.0,,,,,,,,,,
1.1465000000000007,,16.0,,,,,,,,,,
1.1465000000000007,,15.0,,,,,,,,,,
1.1496000000000008,1.0,15.0,,,,,,,,,,
1.1496000000000008,1.0,14.0,,,,,,,,,,
1.152700000000001,2.0,14.0,,,,,,,,,,
1.152700000000001,2.0,13.0,,,,,,,,,,
1.155800000000001,3.0,13.0,,,,,,,,,,
1.155800000000001,3.0,12.0,,,,,,,,,,
1.1589000000000012,4.0,12.0,,,,,,,,,,
1.1589000000000012,4.0,11.0,,,,,,,,,,
1.1620000000000013,5.0,11.0,,,,,,,,,,
1.1620000000000013,5.0,10.0,,,,,,,,,,
1.1651000000000014,6.0,10.0,,,,,,,,,,
1.1651000000000014,6.0,9.0,,,,,,,,,,
1.1682000000000015,7.0,9.0,,,,,,,,,,
1.1682000000000015,7.0,8.0,,,,,,,,,,
1.1713000000000016,8.0,8.0,,,,,,,,,,
1.1713000000000016,8.0,7.0,,,,,,,,,,
1.1744000000000017,9.0,7.0,,,,,,,,,,
1.1744000000000017,9.0,6.0,,,,,,,,,,
1.1775000000000018,10.0,6.0,,,,,,,,,,
1.1775000000000018,10.0,5.0,,,,,,,,,,
1.1806000000000019,11.0,5.0,,,,,,,,,,
1.1806000000000019,11.0,4.0,,,,,,,,,,
1.183700000000002,12.0,4.0,,,,,,,,,,
1.183700000000002,12.0,3.0,,,,,,,,,,
1.186800000000002,13.0,3.0,,,,,,,,,,
1.186800000000002,13.0,2.0,,,,,,,,,,
1.1899000000000022,14.0,2.0,,,,,,,,,,
1.1899000000000022,14.0,1.0,,,,,,,,,,
1.1930000000000023,15.0,1.0,,,,,,,,,,
1.1930000000000023,15.0,0.0,,,,,,,,,,
1.1961000000000024,16.0,0.0,,,,,,,,,,
1.2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2025299999999992,16.0,,,,,,,,,,,
1.2025299999999992,15.0,,,,,,,,,,,
1.2026599999999992,,1.0,,,,,,,,,,
1.2026899999999991,15.0,2.0,,,,,,,,,,
1.2026899999999991,14.0,2.0,,,,,,,,,,
1.2028199999999991,,3.0,,,,,,,,,,
1.202849999999999,14.0,4.0,,,,,,,,,,
1.202849999999999,13.0,4.0,,,,,,,,,,
1.202979999999999,,5.0,,,,,,,,,,
1.203009999999999,13.0,6.0,,,,,,,,,,
1.203009999999999,12.0,6.0,,,,,,,,,,
1.203139999999999,,7.0,,,,,,,,,,
1.203169999999999,12.0,8.0,,,,,,,,,,
1.203169999999999,11.0,8.0,,,,,,,,,,
1.203299999999999,,9.0,,,,,,,,,,
1.203329999999999,11.0,10.0,,,,,,,,,,
1.203329999999999,10.0,10.0,,,,,,,,,,
1.2034599999999989,,11.0,,,,,,,,,,
1.2034899999999988,10.0,12.0,,,,,,,,,,
1.2034899999999988,9.0,12.0,,,,,,,,,,
1.2036199999999988,,13.0,,,,,,,,,,
1.2036499999999988,9.0,14.0,,,,,,,,,,
1.2036499999999988,8.0,14.0,,,,,,,,,,
1.2037799999999987,,15.0,,,,,,,,,,
1.2038099999999987,8.0,16.0,,,,,,,,,,
1.2038099999999987,7.0,16.0,,,,,,,,,,
1.2039399999999987,,17.0,,,,,,,,,,
1.2039699999999987,7.0,18.0,,,,,,,,,,
1.2039699999999987,6.0,18.0,,,,,,,,,,
1.2040999999999986,,19.0,,,,,,,,,,
1.2041299999999986,6.0,20.0,,,,,,,,,,
1.2041299999999986,5.0,20.0,,,,,,,,,,
1.2042899999999985,5.0,,,,,,,,,,,
1.2042899999999985,4.0,,,,,,,,,,,
1.2044499999999985,4.0,,,,,,,,,,,
1.2044499999999985,3.0,,,,,,,,,,,
1.2046099999999984,3.0,,,,,,,,,,,
1.2046099999999984,2.0,,,,,,,,,,,
1.2047699999999983,2.0,,,,,,,,,,,
1.2047699999999983,1.0,,,,,,,,,,,
1.2049299999999983,1.0,,,,,,,,,,,
1.2049299999999983,0.0,,,,,,,,,,,
1.2050899999999982,0.0,,,,,,,,,,,
1.2961000000000025,,20.0,,,,,,,,,,
1.2961000000000025,,19.0,,,,,,,,,,
1.2992000000000026,1.0,19.0,,,,,,,,,,
1.2992000000000026,1.0,18.0,,,,,,,,,,
1.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3023000000000027,2.0,18.0,,,,,,,,,,
1.3023000000000027,2.0,17.0,,,,,,,,,,
1.3050899999999983,2.0,,,,,,,,,,,
1.3050899999999983,1.0,,,,,,,,,,,
1.3052199999999983,,18.0,,,,,,,,,,
1.3052499999999982,1.0,19.0,,,,,,,,,,
1.3052499999999982,0.0,19.0,,,,,,,,,,
1.3053799999999982,,20.0,,,,,,,,,,
1.3054000000000028,1.0,20.0,,,,,,,,,,
1.3054000000000028,1.0,19.0,,,,,,,,,,
1.3054099999999982,1.0,20.0,,,,,,,,,,
1.3054099999999982,0.0,20.0,,,,,,,,,,
1.3055699999999981,0.0,,,,,,,,,,,
1.3085000000000029,1.0,20.0,,,,,,,,,,
1.3085000000000029,1.0,19.0,,,,,,,,,,
1.311600000000003,2.0,19.0,,,,,,,,,,
1.311600000000003,2.0,18.0,,,,,,,,,,
1.314700000000003,3.0,18.0,,,,,,,,,,
1.314700000000003,3.0,17.0,,,,,,,,,,
1.3178000000000032,4.0,17.0,,,,,,,,,,
1.3178000000000032,4.0,16.0,,,,,,,,,,
1.3209000000000033,5.0,16.0,,,,,,,,,,
1.3209000000000033,5.0,15.0,,,,,,,,,,
1.3240000000000034,6.0,15.0,,,,,,,,,,
1.3240000000000034,6.0,14.0,,,,,,,,,,
1.3271000000000035,7.0,14.0,,,,,,,,,,
1.3271000000000035,7.0,13.0,,,,,,,,,,
1.3302000000000036,8.0,13.0,,,,,,,,,,
1.3302000000000036,8.0,12.0,,,,,,,,,,
1.3333000000000037,9.0,12.0,,,,,,,,,,
1.3333000000000037,9.0,11.0,,,,,,,,,,
1.3364000000000038,10.0,11.0,,,,,,,,,,
1.3364000000000038,10.0,10.0,,,,,,,,,,
1.339500000000004,11.0,10.0,,,,,,,,,,
1.339500000000004,11.0,9.0,,,,,,,,,,
1.342600000000004,12.0,9.0,,,,,,,,,,
1.342600000000004,12.0,8.0,,,,,,,,,,
