time_bin,throughput,time_bin_mid
"[1, 2)",73.5,1.5
"[2, 3)",65.0,2.5
"[3, 4)",235.5,3.5
"[4, 5)",82.75,4.5
"[5, 6)",171.0,5.5
"[7, 8)",0.0,7.5
"[8, 9)",106.0,8.5
"[9, 10)",120.0,9.5
"[11, 12)",137.5,11.5
"[15, 16)",154.0,15.5
"[16, 17)",126.0,16.5
"[19, 20)",61.0,19.5
"[20, 21)",31.0,20.5
"[21, 22)",31.5,21.5
"[27, 28)",53.0,27.5
"[28, 29)",66.5,28.5
"[31, 32)",146.5,31.5
"[32, 33)",163.0,32.5
"[34, 35)",107.75,34.5
"[38, 39)",105.0,38.5
"[44, 45)",0.0,44.5
"[45, 46)",57.4,45.5
"[46, 47)",68.7,46.5
"[47, 48)",0.0,47.5
"[48, 49)",54.0,48.5
"[49, 50)",246.1,49.5
"[50, 51)",83.0,50.5
"[55, 56)",158.5,55.5
"[56, 57)",115.5,56.5
"[57, 58)",0.0,57.5
"[58, 59)",0.0,58.5
"[59, 60)",6.75,59.5
"[60, 61)",308.75,60.5
"[61, 62)",0.0,61.5
"[62, 63)",76.0,62.5
"[63, 64)",0.0,63.5
"[64, 65)",0.0,64.5
"[65, 66)",36.5,65.5
"[66, 67)",131.5,66.5
"[67, 68)",79.66666666666667,67.5
"[68, 69)",25.5,68.5
"[71, 72)",0.0,71.5
"[72, 73)",160.5,72.5
"[73, 74)",32.625,73.5
"[74, 75)",0.0,74.5
"[75, 76)",140.5,75.5
"[76, 77)",119.66666666666667,76.5
"[77, 78)",141.5,77.5
"[79, 80)",137.5,79.5
"[80, 81)",95.0,80.5
"[81, 82)",111.5,81.5
"[84, 85)",54.0,84.5
"[85, 86)",82.0,85.5
"[88, 89)",0.0,88.5
"[89, 90)",232.0,89.5
"[90, 91)",0.0,90.5
"[91, 92)",63.6,91.5
"[92, 93)",0.0,92.5
"[93, 94)",0.0,93.5
"[94, 95)",110.85714285714286,94.5
"[95, 96)",119.0,95.5
"[96, 97)",159.0,96.5
"[100, 101)",0.0,100.5
"[101, 102)",73.5,101.5
"[102, 103)",0.0,102.5
"[103, 104)",99.0,103.5
"[104, 105)",306.7,104.5
"[108, 109)",0.0,108.5
"[110, 111)",107.4,110.5
"[114, 115)",159.5,114.5
"[119, 120)",87.66666666666667,119.5
"[120, 121)",157.5,120.5
"[121, 122)",108.66666666666667,121.5
"[123, 124)",25.5,123.5
"[124, 125)",62.0,124.5
"[125, 126)",73.0,125.5
"[126, 127)",0.0,126.5
"[127, 128)",72.0,127.5
"[131, 132)",125.5,131.5
"[135, 136)",0.0,135.5
"[137, 138)",64.33333333333333,137.5
"[138, 139)",70.0,138.5
"[139, 140)",131.0,139.5
"[141, 142)",0.0,141.5
"[144, 145)",240.5,144.5
"[150, 151)",128.0,150.5
"[152, 153)",84.33333333333333,152.5
"[153, 154)",0.0,153.5
"[154, 155)",0.0,154.5
"[155, 156)",112.0,155.5
"[156, 157)",56.0,156.5
"[157, 158)",149.2,157.5
"[158, 159)",25.444444444444443,158.5
"[159, 160)",0.0,159.5
"[160, 161)",0.0,160.5
"[161, 162)",24.75,161.5
"[162, 163)",45.55,162.5
"[163, 164)",91.75,163.5
"[164, 165)",14.25,164.5
"[165, 166)",165.0,165.5
"[170, 171)",37.5,170.5
"[172, 173)",36.0,172.5
"[173, 174)",53.0,173.5
"[176, 177)",0.0,176.5
"[178, 179)",116.6,178.5
"[182, 183)",49.0,182.5
"[183, 184)",97.75,183.5
"[185, 186)",48.0,185.5
"[187, 188)",0.0,187.5
"[189, 190)",0.0,189.5
"[190, 191)",335.0,190.5
"[191, 192)",335.0,191.5
"[192, 193)",335.0,192.5
"[193, 194)",335.0,193.5
"[194, 195)",162.0,194.5
"[195, 196)",335.0,195.5
"[196, 197)",168.33333333333334,196.5
"[197, 198)",124.6,197.5
"[198, 199)",335.0,198.5
"[199, 200)",167.5,199.5
