time,Router_7_load
0.0,0
0.1,0
0.2,0
0.30000000000000004,0
0.4,0
0.5,0
0.6,0
0.7,0
0.7999999999999999,0
0.8999999999999999,0
0.9999999999999999,0
1.0999999999999999,0
1.2,0
1.3,0
1.4000000000000001,0
1.4002000000000001,1
1.5000000000000002,1
1.5000000000000002,0
1.5000000000000002,0
1.6300300000000003,1
1.6300300000000003,1
1.6300300000000003,0
1.6300300000000003,0
1.6415300000000004,0
1.7415300000000005,0
1.8302750000000005,0
1.8403050000000005,1
1.8403350000000005,2
1.8415300000000006,2
1.8415300000000006,1
1.8415300000000006,1
1.8530300000000006,1
1.8530300000000006,0
1.8530300000000006,0
1.8645300000000007,0
1.9645300000000008,0
2.040350000000001,0
2.050380000000001,1
2.050410000000001,2
2.050425000000001,2
2.060455000000001,3
2.0604850000000012,4
2.064530000000001,4
2.064530000000001,3
2.064530000000001,3
2.0760300000000007,3
2.0760300000000007,2
2.0760300000000007,2
2.0875300000000006,2
2.0875300000000006,1
2.0875300000000006,1
2.0990300000000004,1
2.0990300000000004,0
2.0990300000000004,0
2.1105300000000002,0
2.2105300000000003,0
2.2605000000000013,0
2.2705300000000013,1
2.2705600000000015,2
2.2705750000000013,2
2.2806050000000013,3
2.2806350000000015,4
2.2806500000000014,4
2.2906800000000014,5
2.2907100000000016,6
2.2907250000000015,6
2.3007550000000014,7
2.3007850000000016,8
2.3105300000000004,8
2.3105300000000004,7
2.3105300000000004,7
2.3220300000000003,7
2.3220300000000003,6
2.3220300000000003,6
2.33353,6
2.33353,5
2.33353,5
2.34503,5
2.34503,4
2.34503,4
2.35653,4
2.35653,3
2.35653,3
2.3680299999999996,3
2.3680299999999996,2
2.3680299999999996,2
2.3795299999999995,2
2.3795299999999995,1
2.3795299999999995,1
2.3910299999999993,1
2.3910299999999993,0
2.3910299999999993,0
2.402529999999999,0
2.5008000000000017,0
2.5025299999999993,0
2.5108300000000017,1
2.510860000000002,2
2.6025299999999993,2
2.6025299999999993,1
2.6025299999999993,1
2.610875000000002,1
2.614029999999999,1
2.614029999999999,0
2.614029999999999,0
2.620905000000002,1
2.620935000000002,2
2.620950000000002,2
2.625529999999999,2
2.625529999999999,1
2.625529999999999,1
2.630980000000002,2
2.631010000000002,3
2.631025000000002,3
2.637029999999999,3
2.637029999999999,2
2.637029999999999,2
2.641055000000002,3
2.641085000000002,4
2.641100000000002,4
2.6485299999999987,4
2.6485299999999987,3
2.6485299999999987,3
2.651130000000002,4
2.651160000000002,5
2.651175000000002,5
2.6600299999999986,5
2.6600299999999986,4
2.6600299999999986,4
2.661205000000002,5
2.6612350000000022,6
2.661250000000002,6
2.671280000000002,7
2.6713100000000023,8
2.671325000000002,8
2.6715299999999984,8
2.6715299999999984,7
2.6715299999999984,7
2.681355000000002,8
2.6813850000000023,9
2.6830299999999982,9
2.6830299999999982,8
2.6830299999999982,8
2.694529999999998,8
2.694529999999998,7
2.694529999999998,7
2.706029999999998,7
2.706029999999998,6
2.706029999999998,6
2.717529999999998,6
2.717529999999998,5
2.717529999999998,5
2.7290299999999976,5
2.7290299999999976,4
2.7290299999999976,4
2.7405299999999975,4
2.7405299999999975,3
2.7405299999999975,3
2.7520299999999973,3
2.7520299999999973,2
2.7520299999999973,2
2.763529999999997,2
2.763529999999997,1
2.763529999999997,1
2.775029999999997,1
2.775029999999997,0
2.775029999999997,0
2.7814000000000023,0
2.786529999999997,0
2.7914300000000023,1
2.7914600000000025,2
2.7914750000000024,2
2.8015050000000024,3
2.8015350000000026,4
2.8015500000000024,4
2.8115800000000024,5
2.8116100000000026,6
2.8116250000000025,6
2.8216550000000025,7
2.8216850000000027,8
2.8217000000000025,8
2.8317300000000025,9
2.8317600000000027,10
2.886529999999997,10
2.886529999999997,9
2.886529999999997,9
2.8980299999999968,9
2.8980299999999968,8
2.8980299999999968,8
2.9095299999999966,8
2.9095299999999966,7
2.9095299999999966,7
2.9210299999999965,7
2.9210299999999965,6
2.9210299999999965,6
2.9317750000000027,6
2.9325299999999963,6
2.9325299999999963,5
2.9325299999999963,5
2.9418050000000027,6
2.941835000000003,7
2.9418500000000027,7
2.944029999999996,7
2.944029999999996,6
2.944029999999996,6
2.9518800000000027,7
2.951910000000003,8
2.951925000000003,8
2.955529999999996,8
2.955529999999996,7
2.955529999999996,7
2.961955000000003,8
2.961985000000003,9
2.962000000000003,9
2.967029999999996,9
2.967029999999996,8
2.967029999999996,8
2.972030000000003,9
2.972060000000003,10
2.972075000000003,10
2.9785299999999957,10
2.9785299999999957,9
2.9785299999999957,9
2.982105000000003,10
2.982135000000003,11
2.982150000000003,11
2.9900299999999955,11
2.9900299999999955,10
2.9900299999999955,10
2.992180000000003,11
2.992210000000003,12
2.992225000000003,12
3.0015299999999954,12
3.0015299999999954,11
3.0015299999999954,11
3.002255000000003,12
3.002285000000003,13
3.002300000000003,13
3.012330000000003,14
3.0123600000000033,15
3.012375000000003,15
3.013029999999995,15
3.013029999999995,14
3.013029999999995,14
3.022405000000003,15
3.0224350000000033,16
3.022450000000003,16
3.024529999999995,16
3.024529999999995,15
3.024529999999995,15
3.032480000000003,16
3.0325100000000034,17
3.0325250000000032,17
3.036029999999995,17
3.036029999999995,16
3.036029999999995,16
3.0425550000000032,17
3.0425850000000034,18
3.0426000000000033,18
3.0475299999999947,18
3.0475299999999947,17
3.0475299999999947,17
3.0526300000000033,18
3.0526600000000035,19
3.0590299999999946,19
3.0590299999999946,18
3.0590299999999946,18
3.0705299999999944,18
3.0705299999999944,17
3.0705299999999944,17
3.0820299999999943,17
3.0820299999999943,16
3.0820299999999943,16
3.093529999999994,16
3.093529999999994,15
3.093529999999994,15
3.105029999999994,15
3.105029999999994,14
3.105029999999994,14
3.116529999999994,14
3.116529999999994,13
3.116529999999994,13
3.1280299999999936,13
3.1280299999999936,12
3.1280299999999936,12
3.1395299999999935,12
3.1395299999999935,11
3.1395299999999935,11
3.1510299999999933,11
3.1510299999999933,10
3.1510299999999933,10
3.1526750000000034,10
3.162529999999993,10
3.162529999999993,9
3.162529999999993,9
3.1627050000000034,10
3.1627350000000036,11
3.1627500000000035,11
3.1727800000000035,12
3.1728100000000037,13
3.1728250000000036,13
3.174029999999993,13
3.174029999999993,12
3.174029999999993,12
3.1828550000000035,13
3.1828850000000037,14
3.1829000000000036,14
3.185529999999993,14
3.185529999999993,13
3.185529999999993,13
3.1929300000000036,14
3.192960000000004,15
3.1929750000000037,15
3.1970299999999927,15
3.1970299999999927,14
3.1970299999999927,14
3.2030050000000037,15
3.203035000000004,16
3.2030500000000037,16
3.2085299999999926,16
3.2085299999999926,15
3.2085299999999926,15
3.2130800000000037,16
3.213110000000004,17
3.213125000000004,17
3.2200299999999924,17
3.2200299999999924,16
3.2200299999999924,16
3.2231550000000038,17
3.223185000000004,18
3.223200000000004,18
3.2315299999999922,18
3.2315299999999922,17
3.2315299999999922,17
3.233230000000004,18
3.233260000000004,19
3.233275000000004,19
3.243029999999992,19
3.243029999999992,18
3.243029999999992,18
3.243305000000004,19
3.243335000000004,20
3.243350000000004,20
3.253380000000004,21
3.253410000000004,22
3.253425000000004,22
3.254529999999992,22
3.254529999999992,21
3.254529999999992,21
3.263455000000004,22
3.263485000000004,23
3.263500000000004,23
3.2660299999999918,23
3.2660299999999918,22
3.2660299999999918,22
3.273530000000004,23
3.2735600000000042,24
3.273575000000004,24
3.2775299999999916,24
3.2775299999999916,23
