waiting_times,completion_times,turnaround_time,mid_points
0.5,5.527999999999999,6.027999999999999,0.5
0.37569638378045145,3.8840000000000003,4.259696383780452,3.5
0.4216633606818494,7.468,7.889663360681849,5.5
0.3457207084299938,6.509999999999998,6.855720708429992,8.5
0.03300853896817557,6.573999999999998,6.607008538968174,11.5
0.41551915571484344,4.8359999999999985,5.251519155714842,12.5
0.39353875747707434,5.792441573324545,6.18598033080162,16.5
0.031052387223841293,5.916441573324548,5.947493960548389,20.5
0.012371913773716159,7.02355842667545,7.035930340449166,29.5
0.31688956944768165,4.705999999999989,5.0228895694476705,38.5
0.1847874135960339,5.135999999999996,5.32078741359603,42.5
0.24158373294206115,4.390000000000001,4.631583732942062,48.5
0.06558048028696106,7.329999999999998,7.395580480286959,58.5
0.11930516624276777,6.759999999999991,6.879305166242759,63.5
0.026869126965479495,3.749999999999986,3.7768691269654653,71.5
0.3628570705699161,6.3895584266754355,6.752415497245352,73.5
0.4427115309853491,7.156441573324571,7.59915310430992,75.5
0.4050615361689296,4.157648642595888,4.562710178764817,84.5
0.008521254136937273,3.972351357404108,3.980872611541045,88.5
0.22071220996591023,4.608000000000004,4.828712209965914,99.5
0.30373918711303816,6.626000000000005,6.929739187113043,104.5
