time_bin,goodput,time_bin_mid
"[1, 2)",73.5,1.5
"[2, 3)",65.0,2.5
"[3, 4)",229.5,3.5
"[4, 5)",83.75,4.5
"[5, 6)",171.0,5.5
"[7, 8)",0.0,7.5
"[8, 9)",106.0,8.5
"[9, 10)",120.0,9.5
"[11, 12)",137.5,11.5
"[15, 16)",154.0,15.5
"[16, 17)",126.0,16.5
"[19, 20)",61.0,19.5
"[20, 21)",31.0,20.5
"[21, 22)",31.5,21.5
"[27, 28)",53.0,27.5
"[28, 29)",66.5,28.5
"[31, 32)",146.5,31.5
"[32, 33)",163.0,32.5
"[34, 35)",107.75,34.5
"[40, 41)",0.0,40.5
"[41, 42)",171.5,41.5
"[42, 43)",109.25,42.5
"[44, 45)",200.66666666666666,44.5
"[46, 47)",72.0,46.5
"[50, 51)",34.0,50.5
"[52, 53)",57.0,52.5
"[54, 55)",88.0,54.5
"[56, 57)",64.33333333333333,56.5
"[57, 58)",115.5,57.5
"[58, 59)",0.0,58.5
"[59, 60)",0.0,59.5
"[60, 61)",0.0,60.5
"[61, 62)",0.0,61.5
"[62, 63)",0.0,62.5
"[63, 64)",0.0,63.5
"[64, 65)",0.0,64.5
"[65, 66)",0.0,65.5
"[66, 67)",0.0,66.5
"[67, 68)",0.0,67.5
"[68, 69)",0.0,68.5
"[69, 70)",0.0,69.5
"[70, 71)",0.0,70.5
"[71, 72)",0.0,71.5
"[72, 73)",0.0,72.5
"[73, 74)",25.666666666666668,73.5
"[74, 75)",12.9375,74.5
"[75, 76)",142.1,75.5
"[76, 77)",120.83333333333333,76.5
"[77, 78)",0.0,77.5
"[78, 79)",0.0,78.5
"[79, 80)",0.0,79.5
"[80, 81)",30.3,80.5
"[81, 82)",0.0,81.5
"[82, 83)",21.03846153846154,82.5
"[83, 84)",39.25,83.5
"[84, 85)",51.142857142857146,84.5
"[85, 86)",0.0,85.5
"[86, 87)",0.0,86.5
"[87, 88)",45.57142857142857,87.5
"[88, 89)",0.0,88.5
"[89, 90)",19.666666666666668,89.5
"[90, 91)",39.46153846153846,90.5
"[91, 92)",33.125,91.5
"[92, 93)",37.333333333333336,92.5
"[93, 94)",89.5,93.5
"[94, 95)",136.0,94.5
"[95, 96)",58.0,95.5
"[96, 97)",98.5,96.5
"[97, 98)",109.5,97.5
"[98, 99)",157.0,98.5
"[101, 102)",61.0,101.5
"[102, 103)",0.0,102.5
"[103, 104)",0.0,103.5
"[104, 105)",0.0,104.5
"[105, 106)",0.0,105.5
"[106, 107)",157.625,106.5
"[107, 108)",13.5,107.5
"[110, 111)",149.0,110.5
"[112, 113)",142.5,112.5
"[114, 115)",131.5,114.5
"[116, 117)",0.0,116.5
"[117, 118)",0.0,117.5
"[119, 120)",0.0,119.5
"[120, 121)",0.0,120.5
"[121, 122)",0.0,121.5
"[122, 123)",0.0,122.5
"[123, 124)",66.66666666666667,123.5
"[124, 125)",50.42857142857143,124.5
"[125, 126)",48.833333333333336,125.5
"[126, 127)",0.0,126.5
"[127, 128)",0.0,127.5
"[128, 129)",0.0,128.5
"[129, 130)",0.0,129.5
"[130, 131)",16.0,130.5
"[131, 132)",0.0,131.5
"[132, 133)",0.0,132.5
"[133, 134)",0.0,133.5
"[134, 135)",0.0,134.5
"[135, 136)",0.0,135.5
"[136, 137)",21.75,136.5
"[137, 138)",28.5,137.5
"[138, 139)",20.363636363636363,138.5
"[139, 140)",0.0,139.5
"[140, 141)",0.0,140.5
"[141, 142)",0.0,141.5
"[142, 143)",0.0,142.5
"[143, 144)",0.0,143.5
"[144, 145)",0.0,144.5
"[145, 146)",0.0,145.5
"[146, 147)",0.0,146.5
"[147, 148)",0.0,147.5
"[148, 149)",13.142857142857142,148.5
"[149, 150)",4.0,149.5
"[150, 151)",0.0,150.5
"[151, 152)",0.0,151.5
"[152, 153)",13.1,152.5
"[153, 154)",73.41176470588235,153.5
"[154, 155)",76.78125,154.5
"[155, 156)",117.63636363636364,155.5
"[156, 157)",51.5,156.5
"[157, 158)",0.0,157.5
"[158, 159)",138.71428571428572,158.5
"[160, 161)",0.0,160.5
"[161, 162)",0.0,161.5
"[162, 163)",0.0,162.5
"[163, 164)",0.0,163.5
"[164, 165)",0.0,164.5
"[165, 166)",11.4,165.5
"[166, 167)",0.0,166.5
"[167, 168)",16.2,167.5
"[168, 169)",0.0,168.5
"[169, 170)",0.0,169.5
"[170, 171)",0.0,170.5
"[171, 172)",0.0,171.5
"[172, 173)",15.833333333333334,172.5
"[173, 174)",0.0,173.5
"[174, 175)",0.0,174.5
"[175, 176)",0.0,175.5
"[176, 177)",30.714285714285715,176.5
"[177, 178)",0.0,177.5
"[178, 179)",0.0,178.5
"[179, 180)",0.0,179.5
"[180, 181)",17.88888888888889,180.5
"[181, 182)",0.0,181.5
"[182, 183)",0.0,182.5
"[183, 184)",13.375,183.5
"[184, 185)",0.0,184.5
"[185, 186)",0.0,185.5
"[186, 187)",12.0,186.5
"[187, 188)",11.333333333333334,187.5
"[188, 189)",0.0,188.5
"[189, 190)",0.0,189.5
"[190, 191)",18.454545454545453,190.5
"[191, 192)",16.0,191.5
"[192, 193)",0.0,192.5
"[193, 194)",13.266666666666667,193.5
"[194, 195)",0.0,194.5
"[195, 196)",9.933333333333334,195.5
"[196, 197)",0.0,196.5
"[197, 198)",0.0,197.5
"[198, 199)",0.0,198.5
"[199, 200)",4.117647058823529,199.5
