time,Router_11_load
0.0,0
0.1,0
0.2,0
0.30000000000000004,0
0.4,0
0.5,0
0.6,0
0.7,0
0.7999999999999999,0
0.8999999999999999,0
0.9999999999999999,0
1.0999999999999999,0
1.2,0
1.3,0
1.4000000000000001,0
1.5000000000000002,0
1.6000000000000003,0
1.6161100000000004,1
1.7000000000000004,1
1.7000000000000004,0
1.7000000000000004,0
1.7100750000000005,0
1.7261400000000005,1
1.7261700000000004,2
1.8100750000000005,2
1.8100750000000005,1
1.8100750000000005,1
1.8201500000000006,1
1.8201500000000006,0
1.8201500000000006,0
1.8302250000000007,0
1.8362000000000005,1
1.8362300000000005,2
1.8462600000000005,3
1.8462900000000004,4
1.9302250000000007,4
1.9302250000000007,3
1.9302250000000007,3
1.9403000000000008,3
1.9403000000000008,2
1.9403000000000008,2
1.9503750000000009,2
1.9503750000000009,1
1.9503750000000009,1
1.9563200000000005,2
1.9563500000000005,3
1.960450000000001,3
1.960450000000001,2
1.960450000000001,2
1.9663800000000005,3
1.9664100000000004,4
1.970525000000001,4
1.970525000000001,3
1.970525000000001,3
1.9764400000000004,4
1.9764700000000004,5
1.980600000000001,5
1.980600000000001,4
1.980600000000001,4
1.9865000000000004,5
1.9865300000000004,6
1.990675000000001,6
1.990675000000001,5
1.990675000000001,5
1.9965600000000003,6
1.9965900000000003,7
2.000750000000001,7
2.000750000000001,6
2.000750000000001,6
2.0066200000000003,7
2.0066500000000005,8
2.010825000000001,8
2.010825000000001,7
2.010825000000001,7
2.0166800000000005,8
2.0167100000000007,9
2.020900000000001,9
2.020900000000001,8
2.020900000000001,8
2.0267400000000007,9
2.026770000000001,10
2.030975000000001,10
2.030975000000001,9
2.030975000000001,9
2.036800000000001,10
2.036830000000001,11
2.041050000000001,11
2.041050000000001,10
2.041050000000001,10
2.046860000000001,11
2.046890000000001,12
2.051125000000001,12
2.051125000000001,11
2.051125000000001,11
2.056920000000001,12
2.0569500000000014,13
2.0612000000000013,13
2.0612000000000013,12
2.0612000000000013,12
2.0669800000000014,13
2.0670100000000016,14
2.0712750000000013,14
2.0712750000000013,13
2.0712750000000013,13
2.0770400000000016,14
2.0770700000000017,15
2.0813500000000014,15
2.0813500000000014,14
2.0813500000000014,14
2.0871000000000017,15
2.087130000000002,16
2.0914250000000014,16
2.0914250000000014,15
2.0914250000000014,15
2.097160000000002,16
2.097190000000002,17
2.1015000000000015,17
2.1015000000000015,16
2.1015000000000015,16
2.107220000000002,17
2.1072500000000023,18
2.1115750000000015,18
2.1115750000000015,17
2.1115750000000015,17
2.1172800000000023,18
2.1173100000000025,19
2.1216500000000016,19
2.1216500000000016,18
2.1216500000000016,18
2.1273400000000025,19
2.1273700000000026,20
2.1317250000000016,20
2.1317250000000016,19
2.1317250000000016,19
2.1374000000000026,20
2.137430000000003,21
2.1418000000000017,21
2.1418000000000017,20
2.1418000000000017,20
2.147460000000003,21
2.147490000000003,22
2.1518750000000018,22
2.1518750000000018,21
2.1518750000000018,21
2.157520000000003,22
2.157550000000003,23
2.161950000000002,23
2.161950000000002,22
2.161950000000002,22
2.167580000000003,23
2.1676100000000034,24
2.172025000000002,24
2.172025000000002,23
2.172025000000002,23
2.1776400000000034,24
2.1776700000000035,25
2.182100000000002,25
2.182100000000002,24
2.182100000000002,24
2.1877000000000035,25
2.1877300000000037,26
2.192175000000002,26
2.192175000000002,25
2.192175000000002,25
2.1977600000000037,26
2.197790000000004,27
2.202250000000002,27
2.202250000000002,26
2.202250000000002,26
2.207820000000004,27
2.207850000000004,28
2.212325000000002,28
2.212325000000002,27
2.212325000000002,27
2.217880000000004,28
2.2179100000000043,29
2.222400000000002,29
2.222400000000002,28
2.222400000000002,28
2.2279400000000043,29
2.2279700000000044,30
2.232475000000002,30
2.232475000000002,29
2.232475000000002,29
2.2380000000000044,30
2.2380300000000046,31
2.2425500000000023,31
2.2425500000000023,30
2.2425500000000023,30
2.2480600000000046,31
2.248090000000005,32
2.2526250000000023,32
2.2526250000000023,31
2.2526250000000023,31
2.258120000000005,32
2.258150000000005,33
2.2627000000000024,33
2.2627000000000024,32
2.2627000000000024,32
2.268180000000005,33
2.268210000000005,34
2.2727750000000024,34
2.2727750000000024,33
2.2727750000000024,33
2.278240000000005,34
2.2782700000000053,35
2.2828500000000025,35
2.2828500000000025,34
2.2828500000000025,34
2.2883000000000053,35
2.2883300000000055,36
2.2929250000000025,36
2.2929250000000025,35
2.2929250000000025,35
2.2983600000000055,36
2.2983900000000057,37
2.3030000000000026,37
2.3030000000000026,36
2.3030000000000026,36
2.3084200000000057,37
2.308450000000006,38
2.3130750000000027,38
2.3130750000000027,37
2.3130750000000027,37
2.318480000000006,38
2.318510000000006,39
2.3231500000000027,39
2.3231500000000027,38
2.3231500000000027,38
2.328540000000006,39
2.3285700000000062,40
2.3332250000000028,40
2.3332250000000028,39
2.3332250000000028,39
2.3386000000000062,40
2.3386300000000064,41
2.343300000000003,41
2.343300000000003,40
2.343300000000003,40
2.3486600000000064,41
2.3486900000000066,42
2.353375000000003,42
2.353375000000003,41
2.353375000000003,41
2.3587200000000066,42
2.358750000000007,43
2.363450000000003,43
2.363450000000003,42
2.363450000000003,42
2.3687800000000068,43
2.368810000000007,44
2.373525000000003,44
2.373525000000003,43
2.373525000000003,43
2.378840000000007,44
2.378870000000007,45
2.383600000000003,45
2.383600000000003,44
2.383600000000003,44
2.388900000000007,45
2.3889300000000073,46
2.393675000000003,46
2.393675000000003,45
2.393675000000003,45
2.3989600000000073,46
2.3989900000000075,47
2.403750000000003,47
2.403750000000003,46
2.403750000000003,46
2.4090200000000075,47
2.4090500000000077,48
2.413825000000003,48
2.413825000000003,47
2.413825000000003,47
2.4190800000000077,48
2.419110000000008,49
2.4239000000000033,49
2.4239000000000033,48
2.4239000000000033,48
2.4291200000000077,49
2.4339750000000033,49
2.4339750000000033,48
2.4339750000000033,48
2.4391300000000076,49
2.4440500000000034,49
2.4440500000000034,48
2.4440500000000034,48
2.4541250000000034,48
2.4541250000000034,47
2.4541250000000034,47
2.4642000000000035,47
2.4642000000000035,46
2.4642000000000035,46
2.4742750000000036,46
2.4742750000000036,45
2.4742750000000036,45
2.4843500000000036,45
2.4843500000000036,44
2.4843500000000036,44
2.4944250000000037,44
2.4944250000000037,43
2.4944250000000037,43
2.5045000000000037,43
2.5045000000000037,42
2.5045000000000037,42
2.514575000000004,42
2.514575000000004,41
2.514575000000004,41
2.524650000000004,41
2.524650000000004,40
2.524650000000004,40
2.534725000000004,40
2.534725000000004,39
2.534725000000004,39
2.544800000000004,39
2.544800000000004,38
2.544800000000004,38
2.554875000000004,38
2.554875000000004,37
2.554875000000004,37
2.564950000000004,37
2.564950000000004,36
2.564950000000004,36
2.575025000000004,36
2.575025000000004,35
2.575025000000004,35
2.585100000000004,35
2.585100000000004,34
2.585100000000004,34
2.5951750000000042,34
2.5951750000000042,33
2.5951750000000042,33
2.6052500000000043,33
2.6052500000000043,32
2.6052500000000043,32
2.6153250000000043,32
2.6153250000000043,31
2.6153250000000043,31
2.6254000000000044,31
2.6254000000000044,30
2.6254000000000044,30
2.6354750000000045,30
2.6354750000000045,29
2.6354750000000045,29
2.6455500000000045,29
2.6455500000000045,28
2.6455500000000045,28
2.6556250000000046,28
2.6556250000000046,27
2.6556250000000046,27
2.6657000000000046,27
2.6657000000000046,26
2.6657000000000046,26
2.6757750000000047,26
2.6757750000000047,25
2.6757750000000047,25
