waiting_times,completion_times,total_completion_times
0.5,6.527999999999999,7.027999999999999
0.37569638378045145,4.884,5.259696383780452
0.4216633606818494,7.968,8.38966336068185
0.3457207084299938,7.009999999999998,7.355720708429992
0.03300853896817557,7.573999999999998,7.607008538968174
0.41551915571484344,5.8359999999999985,6.251519155714842
0.39353875747707434,6.792441573324545,7.18598033080162
0.031052387223841293,6.416441573324548,6.447493960548389
0.012371913773716159,7.1299999999999955,7.142371913773712
0.31688956944768165,5.016441573324542,5.333331142772224
0.1847874135960339,5.635999999999996,5.82078741359603
0.24158373294206115,4.890000000000001,5.131583732942062
0.19361456144145706,8.329999999999998,8.523614561441455
0.38640948986774504,7.759999999999991,8.146409489867736
0.020027131058427017,4.427999999999997,4.448027131058424
0.34514951845659425,6.9043723734066305,7.249521891863225
0.26357903538557537,8.0,8.263579035385575
0.34343349580100835,5.078000000000003,5.421433495801011
0.30578350098458884,4.806000000000012,5.1117835009846
0.4092432189525965,6.269999999999982,6.679243218952578
0.12143417478156948,7.554000000000002,7.6754341747815715
0.2044611519286974,7.180000000000007,7.384461151928704
0.1719178677511053,,
0.1004412927352405,,
0.041966371444686956,,
0.14827529466906242,,
0.10947527415754621,,
0.19050138738126066,,
0.015593251468317249,,
0.1248747339694205,,
0.02534277169272059,,
0.02341639502949988,,
0.27994501972889907,,
0.40793008745632164,,
0.20579600228734307,,
0.07965877281631606,,
0.35553359972996645,,
